11,302600.364 302600.364 302600.332 302600.311 302600.269 302600.248 302600.195 302600.153 302600.111 302600.069 302600.038 302599.964 302599.901 302599.743 302599.659 302599.449 302599.028 302598.523 302598.103 302597.556 302596.799 302596.041 302595.410 302594.485 302593.307 302592.277 302591.214 302590.131 302588.554 302587.208 302585.988 302584.873 302583.843 302582.854 302581.466 302580.404 302579.268 ,4124106.973 4124107.530 4124108.193 4124108.740 4124109.455 4124109.991 4124110.685 4124111.421 4124112.326 4124113.430 4124114.324 4124115.502 4124116.774 4124117.615 4124118.488 4124119.582 4124120.550 4124121.307 4124121.938 4124122.569 4124123.368 4124124.125 4124124.672 4124125.345 4124126.060 4124126.628 4124127.027 4124127.469 4124127.869 4124128.058 4124128.121 4124128.163 4124128.163 4124128.163 4124128.142 4124128.121 4124128.121 , 
12,302577.433 302576.933 302576.373 302575.948 302575.432 302575.022 302574.520 302574.084 302573.466 302572.709 302572.109 302571.483 302570.705 302570.022 302569.438 302568.875 302568.334 302567.845 302567.366 302566.930 302566.467 302565.915 302565.410 302564.890 302564.511 302563.996 302563.507 302563.070 302562.608 302562.319 302561.877 ,4124128.058 4124128.058 4124128.055 4124128.061 4124128.066 4124128.061 4124128.055 4124128.053 4124128.069 4124128.053 4124128.053 4124128.063 4124128.090 4124128.126 4124128.174 4124128.216 4124128.258 4124128.305 4124128.368 4124128.421 4124128.463 4124128.510 4124128.563 4124128.600 4124128.642 4124128.684 4124128.726 4124128.773 4124128.789 4124128.810 4124128.826 , 
13,302560.407 302559.646 302558.594 302558.012 302557.418 302556.859 302556.254 302555.784 302555.404 302555.247 302555.292 302555.477 302555.784 302556.053 302556.573 302557.178 302557.894 302558.532 302559.282 302560.032 302560.883 302561.823 302562.617 302563.350 302564.078 302565.007 302565.925 302566.792 302567.780 302568.821 302569.901 302571.029 302571.983 302573.105 302573.981 302574.764 302575.827 302576.793 ,4124128.796 4124128.751 4124128.639 4124128.528 4124128.281 4124128.013 4124127.587 4124126.983 4124126.334 4124125.685 4124125.058 4124124.498 4124124.028 4124123.625 4124123.189 4124122.920 4124122.786 4124122.797 4124122.887 4124122.954 4124123.032 4124123.122 4124123.217 4124123.334 4124123.424 4124123.519 4124123.608 4124123.653 4124123.695 4124123.695 4124123.706 4124123.715 4124123.701 4124123.715 4124123.712 4124123.712 4124123.712 4124123.681 , 
14,302579.014 302580.126 302581.009 302581.861 302582.713 302583.218 302583.770 302584.369 302584.874 302585.631 302586.199 302586.830 302587.571 302588.297 302588.889 302589.740 302590.529 302591.286 302591.712 302592.233 302592.485 302592.659 302592.816 302592.927 302593.061 302593.156 302593.219 ,4124123.561 4124123.521 4124123.498 4124123.324 4124123.135 4124122.898 4124122.614 4124122.314 4124121.967 4124121.447 4124121.037 4124120.548 4124119.854 4124119.144 4124118.615 4124117.590 4124116.659 4124115.539 4124114.798 4124113.788 4124112.763 4124111.911 4124110.996 4124109.861 4124108.599 4124107.644 4124106.864 , 
15,302593.298 302593.321 302593.333 302593.345 302593.354 302593.357 302593.345 302593.345 302593.345 302593.345 302593.345 302593.357 302593.369 302593.363 302593.357 302593.351 302593.351 302593.363 302593.361 302593.366 302593.371 302593.371 302593.383 302593.379 302593.383 302593.383 302593.395 302593.401 302593.404 302593.401 302593.410 302593.419 302593.416 302593.416 302593.428 302593.428 302593.428 302593.431 302593.437 302593.437 302593.439 302593.444 302593.451 302593.448 302593.459 302593.465 302593.471 302593.476 302593.476 302593.479 302593.494 302593.515 302593.519 302593.530 302593.540 302593.540 302593.555 302593.558 302593.570 302593.581 302593.587 302593.593 302593.597 302593.610 302593.607 302593.616 302593.619 302593.619 302593.618 302593.615 302593.618 302593.618 302593.616 302593.624 302593.623 302593.623 302593.629 302593.625 302593.634 302593.638 302593.646 302593.646 302593.655 302593.655 302593.668 302593.671 302593.678 302593.689 302593.689 302593.698 302593.703 302593.709 302593.708 302593.711 302593.716 302593.721 302593.725 302593.725 302593.733 302593.736 302593.737 302593.740 302593.735 302593.750 302593.754 302593.755 302593.760 302593.758 302593.761 302593.775 302593.771 302593.775 302593.778 302593.782 302593.787 302593.787 302593.791 302593.794 302593.796 302593.801 302593.803 302593.804 302593.805 302593.808 302593.811 302593.814 302593.820 302593.820 302593.826 302593.830 302593.834 ,4124104.797 4124104.075 4124103.437 4124102.845 4124102.348 4124101.694 4124100.973 4124100.275 4124099.636 4124098.997 4124098.210 4124097.347 4124096.658 4124095.826 4124095.229 4124094.549 4124094.022 4124093.386 4124092.959 4124092.385 4124091.784 4124091.216 4124090.577 4124089.870 4124089.240 4124088.513 4124087.844 4124087.028 4124086.194 4124085.567 4124084.786 4124084.159 4124083.644 4124083.124 4124082.653 4124082.085 4124081.485 4124081.021 4124080.551 4124080.082 4124079.595 4124078.918 4124078.134 4124077.096 4124076.299 4124075.424 4124074.548 4124073.679 4124072.830 4124072.073 4124071.079 4124069.990 4124069.320 4124068.587 4124067.794 4124067.244 4124066.641 4124065.955 4124065.044 4124064.064 4124063.322 4124062.739 4124062.221 4124061.554 4124060.945 4124060.330 4124059.747 4124059.120 4124058.539 4124057.930 4124057.489 4124056.827 4124056.222 4124055.584 4124054.820 4124054.125 4124053.467 4124052.930 4124052.349 4124051.684 4124050.872 4124049.963 4124049.337 4124048.716 4124048.064 4124047.413 4124046.681 4124045.805 4124044.997 4124044.094 4124043.279 4124042.681 4124041.893 4124041.192 4124040.393 4124039.640 4124038.802 4124037.983 4124037.231 4124036.546 4124035.947 4124035.340 4124034.534 4124033.696 4124032.919 4124032.398 4124031.502 4124030.797 4124029.882 4124029.030 4124028.278 4124027.661 4124027.126 4124026.318 4124025.797 4124025.074 4124024.417 4124023.624 4124023.042 4124022.242 4124021.435 4124020.871 4124020.270 4124019.571 4124018.990 4124018.347 4124017.668 4124017.111 4124016.497 4124015.629 4124015.090 , 
16,302593.843 302593.826 302593.808 302593.775 302593.750 302593.719 302593.691 302593.670 302593.644 302593.618 302593.591 302593.558 302593.533 302593.493 302593.460 302593.422 302593.405 302593.365 302593.338 302593.311 302593.285 302593.239 302593.214 302593.186 302593.144 302593.129 ,4124012.987 4124012.076 4124011.189 4124010.269 4124009.418 4124008.609 4124007.703 4124006.861 4124005.980 4124005.241 4124004.618 4124003.655 4124002.862 4124001.681 4124000.566 4123999.439 4123998.592 4123997.563 4123996.662 4123995.832 4123994.949 4123993.993 4123992.980 4123991.845 4123990.974 4123990.248 , 
17,302593.082 302593.044 302593.009 302592.974 302592.939 302592.893 302592.841 302592.800 302592.750 302592.704 302592.652 302592.583 302592.481 302592.395 302592.311 302592.222 302592.125 302592.023 302591.910 302591.787 302591.673 302591.533 302591.394 302591.234 302591.030 302590.831 302590.615 302590.376 302590.137 302589.916 302589.687 302589.448 302589.187 302588.969 302588.755 302588.528 302588.342 302588.158 302587.883 302587.645 302587.338 302587.080 302586.816 302586.503 302586.294 302586.047 302585.814 302585.485 302585.226 302584.921 302584.657 302584.354 302584.107 302583.829 302583.565 302583.229 302582.933 302582.573 302582.319 302581.891 302581.615 302581.394 302581.118 302580.797 302580.399 302580.048 302579.834 302579.531 302579.198 302578.837 302578.489 302578.193 302577.844 302577.566 302577.248 302576.912 302576.559 302576.238 302575.892 302575.589 302575.220 302574.730 302574.422 302574.114 302573.894 302573.601 302573.175 302572.780 302572.512 302572.263 302571.877 302571.440 302571.052 302570.783 302570.450 302570.161 302569.803 302569.450 302569.070 302568.669 302568.284 302567.956 302567.657 302567.319 302566.962 302566.672 302566.324 302566.025 302565.605 302565.219 302564.864 302564.266 302563.709 302563.172 302562.692 302562.204 302561.842 302561.398 302561.023 302560.627 302560.295 302559.956 302559.590 302559.233 302558.977 302558.727 302558.321 302557.869 302557.310 302556.866 302556.495 ,4123988.565 4123987.771 4123987.004 4123986.175 4123985.470 4123984.577 4123983.766 4123982.950 4123982.228 4123981.510 4123980.581 4123979.734 4123978.655 4123977.781 4123976.946 4123976.099 4123975.339 4123974.572 4123973.724 4123972.824 4123972.139 4123971.308 4123970.433 4123969.637 4123968.794 4123967.975 4123967.082 4123966.142 4123965.268 4123964.471 4123963.663 4123962.783 4123961.874 4123961.153 4123960.447 4123959.688 4123959.064 4123958.487 4123957.611 4123956.856 4123955.878 4123955.145 4123954.389 4123953.479 4123952.892 4123952.180 4123951.489 4123950.564 4123949.846 4123949.066 4123948.378 4123947.599 4123946.955 4123946.213 4123945.549 4123944.655 4123943.895 4123943.032 4123942.413 4123941.401 4123940.744 4123940.234 4123939.578 4123938.811 4123937.869 4123937.051 4123936.538 4123935.837 4123935.091 4123934.300 4123933.541 4123932.869 4123932.141 4123931.529 4123930.867 4123930.141 4123929.392 4123928.703 4123927.995 4123927.353 4123926.574 4123925.562 4123924.918 4123924.267 4123923.805 4123923.199 4123922.306 4123921.512 4123920.962 4123920.458 4123919.675 4123918.817 4123918.041 4123917.511 4123916.862 4123916.283 4123915.586 4123914.897 4123914.171 4123913.400 4123912.656 4123912.043 4123911.467 4123910.816 4123910.143 4123909.606 4123908.948 4123908.389 4123907.606 4123906.868 4123906.215 4123905.107 4123904.064 4123903.065 4123902.158 4123901.270 4123900.610 4123899.826 4123899.136 4123898.440 4123897.845 4123897.236 4123896.586 4123895.954 4123895.498 4123895.062 4123894.356 4123893.576 4123892.598 4123891.814 4123891.194 , 
18,302555.426 302554.928 302554.430 302553.938 302553.434 302552.936 302552.460 302551.895 302551.279 302550.776 302550.238 302549.623 302549.086 302548.571 302548.089 302547.608 302547.015 302546.567 302546.008 302545.554 302545.129 302544.721 302544.234 302543.775 302543.294 ,4123889.360 4123888.555 4123887.799 4123887.072 4123886.333 4123885.656 4123884.990 4123884.223 4123883.350 4123882.634 4123881.850 4123881.000 4123880.194 4123879.444 4123878.627 4123877.787 4123876.735 4123875.952 4123875.040 4123874.279 4123873.551 4123872.852 4123871.990 4123871.240 4123870.518 , 
19,302541.760 302541.298 302540.680 302540.176 302539.625 302539.166 302538.821 302538.368 302537.794 302537.268 302536.728 302536.306 302535.798 302535.336 302534.880 302534.252 302533.698 302533.155 302532.688 302532.006 302531.424 302530.857 302530.454 ,4123868.173 4123867.336 4123866.220 4123865.305 4123864.330 4123863.495 4123862.878 4123862.076 4123861.041 4123860.092 4123859.130 4123858.356 4123857.438 4123856.600 4123855.794 4123854.662 4123853.644 4123852.615 4123851.738 4123850.503 4123849.399 4123848.369 4123847.563 , 
20,302529.368 302529.039 302528.708 302528.389 302528.056 302527.706 302527.328 302527.044 302526.674 302526.303 302525.910 302525.604 302525.185 302524.876 302524.521 302524.158 302523.798 302523.520 302523.227 302522.831 302522.507 302522.122 302521.783 302521.507 302521.185 302520.765 302520.397 302520.092 302519.740 302519.386 302518.972 302518.636 302518.314 302518.008 302517.657 302517.298 302517.001 302516.677 302516.371 302516.080 302515.819 ,4123845.523 4123844.950 4123844.346 4123843.789 4123843.195 4123842.574 4123841.897 4123841.395 4123840.741 4123840.078 4123839.380 4123838.828 4123838.089 4123837.542 4123836.909 4123836.254 4123835.618 4123835.128 4123834.606 4123833.893 4123833.333 4123832.645 4123832.049 4123831.556 4123830.980 4123830.232 4123829.574 4123829.036 4123828.401 4123827.777 4123827.035 4123826.443 4123825.873 4123825.324 4123824.699 4123824.062 4123823.527 4123822.965 4123822.408 4123821.896 4123821.430 , 
